text,label
"I require a summary of this week's sales, listing the top 10 sales associates and total sales for each store.",Reporting / SQL Based
Show me a recap of this week's sales including the top 10 sales associates and the total sales by store.,Reporting / SQL Based
Could you compile a summary of this week’s sales that includes the top 10 sales associates and total sales by store?,Reporting / SQL Based
"Please outline this week’s sales, featuring top sales associates and total sales by store.",Reporting / SQL Based
"I'm interested in a summary of this week's sales, with a focus on the top 10 sales associates and the total sales by store.",Reporting / SQL Based
Can you furnish a detailed summary of sales from this week including our top 10 sales associates and total sales by store?,Reporting / SQL Based
Generate a summary of this week’s sales showing both the top 10 sales associates and total sales at each store.,Reporting / SQL Based
"Please provide a detailed report on this week’s sales, highlighting the top 10 sales associates and sales totals by store.",Reporting / SQL Based
"Could you present a brief on this week’s sales, incorporating the top 10 sales associates and total sales for each store?",Reporting / SQL Based
"I need a concise summary of this week’s sales, featuring the top 10 sales associates and a breakdown of total sales by store.",Reporting / SQL Based
"Please draft a summary report for this week's sales, including the top 10 sales associates and the sales totals per store.",Reporting / SQL Based
Can you give an overview of this week’s sales that includes the top 10 sales associates and a store-wise total?,Reporting / SQL Based
"Display a summary of this week's sales, noting our top 10 sales associates and the totals for each store.",Reporting / SQL Based
Kindly provide a sales summary for this week including top performers and total sales figures by store.,Reporting / SQL Based
I would appreciate a summary of this week’s sales detailing the top 10 associates and the total sales per store.,Reporting / SQL Based
